"OBJECTID","RISK_NO","RISKCATEGORY","FEATURE","DISCIPLINE","RISK_OPPORTUNITY_EVENT","CONCERNS","PDT_DISC_CONC","PDT_DISC_LIKELI_IMPACT","PDT_DISC_RISK_MANAG_STRATEGY","ACTION_ITEMS","RISK_STRATEGY","COST_LIKELIHOOD","COST_IMPACT","CONDITIONAL_FORMATTING","CONDITIONAL_FORMATTING2","CONDITIONAL_FORMATTING3","COST_RISK","COST_IMPACT_PER_PROJECT","SCHEDULE_LIKELIHOOD","SCHEDULE_IMPACT","SCHEDULE_RISK","SCHEDULE_IMPACT_PER_PROJECT","EFFICACY_IMPACT","EFFICACY_LIKELIHOOD","EFFICACY_RISK","TECHNICAL_POC","POC_REVIEW_DATE","TIMING_OF_DELAY","LESSONS_LEARNED","START_DATE","END_DATE","ACTIVE","TREND","IMPACT","OUTCOME","OWNER","MANAGEMENT_STATUS","FK_TABLE_ID","ENG_LEVEL","LEVEL_DATE","LAST_EDITED_DATE"
2248,"TR-23","REGULATORY AND ENVIRONMENTAL RISKS","Administrative","Policy","Project Footprint & Operations","Illinois Public Body of Water Impacts - mitigation only.","","","","The team is working through the constraints to find a solution. 11/16/21 The federal gov't will apply for all permits required through federal law. Pursue remapping the floodway (USACE). Continue working through design and updating floodway mapping.","Accept & Mitigate","Unlikely","Marginal","Green","Green","Green","Low","$4-$24 Million","Unlikely","Negligible","Low","0-4.8 months","Negligible","Very Unlikely","Low","Kirk Sunderman",13-OCT-21 12.00.00.000000000 AM,"Prior to Construction","",13-DEC-21 12.00.00.000000000 AM,02-OCT-23 12.00.00.000000000 AM,"Yes","Increasing","Electric Barrier and bubble curtain influence on recreational/private watercraft boating on Public Water. Recreational/private watercraft protected from electrical current and bubble impacts. The risk can be mitigated during design by creating better fishing access and a boat ramp. Mitigation for private boating impacts could include a public boat ramp and associated facilities as part of the project.  Development of the river side of the divider island peninsula and/or opposite bank of the river could serve to mitigate these known project impacts.  Lock cycle times must not be diminished to the extent that it causes a mode shift to other means of goods transportation.","","Loren Wobig","Open","","",,22-DEC-21 08.09.00.000000000 AM
664,"TR-7","TECHNICAL RISKS","Flushing Lock","","Flushing Lock Valves ","There are existing utilities/duct banks that run parallel to the lock walls, is there enough space to fit in culvert, avoidance strategy","New 6x6 culvert….proper space to fit within the existing lock structure?  Additional valve to force water through these valves, sequencing of valves, four valves needed to isolate the ports.","could prevent flushing from being feasible from the large upstream port which could result in less than desired efficiency.","Structures completed analysis and found there is space to construct what is needed","Complete Design Charrettes and preliminary design","Accept & Transfer","Unlikely","Negligible","Green","Green","Transparent","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","","","","Nic Patterson",,"Both","",,,"No","","","","","Open","TR-7","Level 1",19-JUL-21 01.32.31.000000000 PM,22-DEC-21 05.02.55.000000000 PM
965,"TR-1C","TECHNICAL RISKS","Flushing Lock","","Flushing Lock, Filling/Emptying System","Model construction fitting within our timeline","We'll want enough modeling to have a definitive path forward to complete design, we may be changing operational requirements for dam operation if a flushing lock is incorporated.  If we don't have remote operations of the dam now, does this require a separate process?","We need modeling to complete design of the flushing lock; If we adopt a flushing lock procedure, we will need to mitigate water usage through the lock so we are not passing extra water over the dam.","Have regular communication with ERDC to set milestones and to ensure delivery of the physical model construction and delivery of the results.","Finish R&D; receiving monthly/bi-weekly reports from ERDC","Mitigate & Transfer","Unlikely","Negligible","Green","Green","Transparent","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","","","","Nic Patterson",,"Prior","",,,"No","","","","","Open","","",,22-DEC-21 05.02.55.000000000 PM
2246,"TR-21","TECHNICAL RISKS","Engineering Channel","Engineering - General ","ANS bypass deterrents in EC","Velocity can pull floaters or small fish through barriers when barge traffic is active.","","","","Conduct testing/modeling of existing models to determine velocities created by displacement. Conduct engineering analysis to determine velocities created by displacement. Continue R&D, Conducting first order analysis with H&H, Coordinate with AIS to get vessel velocities (needed for first order analysis). Mark will coordinate with USGS.","Accept & Transfer","Unlikely","Negligible","Green","Green","Red","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Likely","High","Nic Patterson",30-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",31-AUG-21 12.00.00.000000000 AM,02-OCT-23 12.00.00.000000000 AM,"Yes","Increasing","We would get larval/juvenal fish upstream. If larval and juvenal fish are present it is likely they could get sucked along by currents. Possibly increase the voltage on the electric deterrent to mitigate/minimize the larval fish - needs to be verified.","","John Behrens","Open","TR-21","Level 1",30-JUL-21 12.00.00.000000000 AM,22-DEC-21 05.02.55.000000000 PM
649,"TR-1a","TECHNICAL RISKS","Flushing Lock","Engineering - General ","Flushing Lock Filling/Emptying System","Operational safety concerns of emptying filling system due to potentially increased hawser forces.","Decisions made to narrow the channel will magnify this concern; it also affects the prelockage/mooring; The lock operational procedures may need to be modified to maximize water exchange.","This would cause navigation delays if tows have to tie off further downstream. Impacts would be realized during operation, would not impact cost or schedule.","We're conducting physical model at ERDC to investigate forces. May need to conduct field testing after installation.","Conducting physical model at ERDC to investigate forces.  May need to conduct field testing after installation. The team may need to do field testing during construction. The team may also need to adjust lock operating procedures.","Accept & Mitigate","Likely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Negligible","Unlikely","Low","Nic Patterson",01-JUL-21 12.00.00.000000000 AM,"During","",23-OCT-22 12.00.00.000000000 AM,30-SEP-24 12.00.00.000000000 AM,"Yes","Stable","This would cause navigation delays if tows have to tie off further downstream.  Impacts would be realized during operation, would not impact construction cost or schedule.","","John Behrens","Open","TR-1a","Level 1",19-JUL-21 09.52.55.000000000 AM,28-DEC-21 09.17.00.000000000 AM
651,"TR-1d","TECHNICAL RISKS","Flushing Lock","Environment","Flushing Lock Filling/Emptying System","Validation of biological parameters  - does it work when floaters are present?","We could not conduct numeric modeling of barges in the chamber to measure the effectiveness of flush. How often will we be able to flush during certain times of the year? How do we buy down risk with physical modeling?","We're not able to clear floating ANS from the chamber at the efficacy level required.","Review hydrograph and compare to invasive carp spawning to capture this risk of passage during low flow periods. Conduct validation during physical modeling to identify a level of water exchange (effectiveness) for different head differential conditions.","We're conducting physical modeling to reduce the risk. Collect AISP data to see if LPMS data is accurate enough for us, continue communication with navigation, time lapse photography, and/or bring in new technologies. Review during adaptive management for opportunities to maximize operating procedures.  Review hydrograph and compare to invasive carp spawning to capture this risk of passage during low flow periods. Conduct validation during physical modeling to identify a level of water exchange (effectiveness) for different head differential conditions.","Accept & Mitigate","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Marginal","Unlikely","Low","Nic Patterson",01-JUL-21 12.00.00.000000000 AM,"Prior","",27-MAR-23 12.00.00.000000000 AM,27-JUN-23 12.00.00.000000000 AM,"Yes","Stable","We might not able to clear floating ANS from the chamber at the efficacy level required/desired.  Are limited to maximum 15 minute delay to navigation.  Conducting physical modeling of the flushing lock to maximize filling and emptying efficiency however in the field efficacy impacts would be realized during operation and would not impact construction cost or schedule.","","John Behrens","Open","TR-1d","Level 1",19-JUL-21 01.32.26.000000000 PM,28-DEC-21 09.25.00.000000000 AM
1611,"TR-6e","TECHNICAL RISKS","Engineering Channel","Project Management","Engineered Channel","Navigation delays during operations","","","","Gather input from navigation, USCG, Operations, IL DOT. Conduct physical modeling, gather AISAP data to analyze transit times, research ship simulator, VR technologies for communications, R&D on vessel maneuverability when in bubble curtain column (utilization of OD barges/tows). Finish R&D, Design Charrettes, and preliminary design.","Transfer","Unlikely","Significant","Orange","Green","Orange","Moderate","$24-$56 Million","Unlikely","Marginal","Low","4.8-9.6 months","Marginal","Likely","Moderate","Heather Bishop",01-JUL-21 12.00.00.000000000 AM,"Prior/During Construction","",28-JAN-22 12.00.00.000000000 AM,30-SEP-24 12.00.00.000000000 AM,"Yes","Increasing","Draft of barges, piston effect, vulnerability to elisions, operation concerns with electrical barrier, maneuverability in bubble curtain and approach channel, approach velocities related to power water intake, Hawser forces, any channel wall gaps.","","Kirk Sunderman","Open","TR-6e","Level 1",22-JUL-21 12.00.00.000000000 AM,28-DEC-21 09.31.00.000000000 AM
1612,"TR-6g","TECHNICAL RISKS","Engineering Channel","Engineering - General ","Engineered Channel","Navigation delays during construction","","","","Conduct workshops to coordinate and gather input from navigation, USCG, Operations, IL DOT as opportunity to identify the most efficient size, layout, construction method and construction sequencing to implement the project and minimize impact to navigation. Conduct physical modeling and gather AISAP data to analyze transit times.  Identification of construction sequencing is a Key Decision Point. Finish R&D, Design Charrettes, and preliminary design.","Accept & Mitigate","Likely","Marginal","Orange","Red","Green","Moderate","$4-$24 Million","Likely","Significant","High","9.6-19.2 months","Negligible","Very Unlikely","Low","Heather Bishop",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-JAN-23 12.00.00.000000000 AM,01-JAN-24 12.00.00.000000000 AM,"Yes","Increasing","Delays during construction, access for passage of vessels in the DS approach channel","","Kirk Sunderman","Open","TR-6g","Level 1",22-JUL-21 12.00.00.000000000 AM,28-DEC-21 09.38.00.000000000 AM
1613,"TR-6f","TECHNICAL RISKS","Engineering Channel","Engineering - H&H ","Engineered Channel","Floodway Impact","","","","Conduct H&H HEC-RAS modeling, regulatory & RE coordination with State of Illinois.","Accept & Transfer","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Very Unlikely","Negligible","Low","0-4.8 months","Negligible","Unlikely","Low","Heather Bishop",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-JUN-21 12.00.00.000000000 AM,01-JAN-23 12.00.00.000000000 AM,"Yes","Stable","Will impact the design of Engineered Channel (length, height).   Note the risk of floodway impact could increase if the RDB is not available for construction of project components and facilities.  Note that risk is captured as part of risk item RE-1 acquisition of real estate.","","Kirk Sunderman","Open","TR-6f","Level 1",22-JUL-21 12.00.00.000000000 AM,28-DEC-21 09.44.00.000000000 AM
678,"TR-17","TECHNICAL RISKS","Flushing Lock","Engineering - General ","Operation of Flushing Lock in Combination with Hydro Power Study","Balance of water between hydro power and flushing lock may be difficult.","USACE controls the water supply and would govern availbility to any developed hydropower ventures","under USACE control - no impact","Establish water usage agreements","Establish water usage agreements.","Accept","Very Unlikely","Negligible","Green","Green","Orange","Low","$0-$4 Million","Very Unlikely","Negligible","Low","0-4.8 months","Marginal","Likely","Moderate","Jim Bartek",01-JUL-21 12.00.00.000000000 AM,"Both","",01-JAN-22 12.00.00.000000000 AM,01-JAN-23 12.00.00.000000000 AM,"Yes","Stable","The Corps' interests in navigation take priority over any hydropower interests.  An agreement with any hydropower facility would need to be negotiated to allow proper operation of the project.","","Allan Hammack","Open","TR-17","Level 1",19-JUL-21 01.32.42.000000000 PM,28-DEC-21 09.52.00.000000000 AM
1615,"TR-10","TECHNICAL RISKS","All","Engineering - General ","Control Systems","Software engineering may be required to operate all systems under the same controls at the lock house.","","","","Will be addressed at an upcoming Design Charrette.","Accept & Mitigate","Likely","Marginal","Orange","Green","Red","Moderate","$4-$24 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Likely","High","Kent Rockow",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-JAN-22 12.00.00.000000000 AM,01-JUN-24 12.00.00.000000000 AM,"Yes","Stable","It's possible.","","Benjamin Barrowes","Open","TR-10","Level 1",22-JUL-21 12.00.00.000000000 AM,28-DEC-21 09.54.00.000000000 AM
680,"TR-18a","TECHNICAL RISKS","Electric Dispersal Barrier","Engineering - General ","Electric Barrier Deterrent","Methods and materials to reduce stray current impacts could exceed the current conceptual design estimate.","water column distribution of current, shallower channel depth, what is the consequence at Brandon Road, leads to material choices and voltages, can we accommodate the same design as at Romeoville?","Due to the minimal depth between the electrodes and the barges that design parameters will be changed drastically.","Working at defining design parimeters for varying tailwater conditions to set limits for the design of the electric barrier sampling of water conductivity.","Conducting stray current electrical modeling with CRREL. Others to determine the potential range of stray currents, continued R&D, explore opportunities for solutions. Design is intended to have flexibility for voltage per inch. Design will have to have specific start up and shut down procedures to allow for rapid on and off operation. Working at defining design perimeters for varying tailwater conditions to set limits for the design of the electric barrier sampling of water conductivity.  Finish R&D, Design Charrettes, and preliminary design","Accept & Mitigate","Unlikely","Significant","Orange","Green","Red","Moderate","$24-$56 Million","Unlikely","Negligible","Low","0-4.8 months","Critical","Likely","High","Kirk Sunderman",01-JUL-21 12.00.00.000000000 AM,"Both","",01-AUG-21 12.00.00.000000000 AM,01-JUL-23 12.00.00.000000000 AM,"Yes","Stable","Due to the minimal depth between the electrodes and the barges that design parameters will be changed drastically.  Do have promising preliminary results with CRREL, good confidence level that we can address stray current at Brandon Road.","","Kirk Sunderman","Open","TR-18a","Level 1",19-JUL-21 01.32.44.000000000 PM,28-DEC-21 10.04.00.000000000 AM
681,"TR-18b","TECHNICAL RISKS","Electric Dispersal Barrier","Engineering - General ","Electric Barrier Deterrent","Coast Guard could provide final operating and safety parameters different from our current assumptions and changes the efficacy of the electric barrier after implementation or impact cycle time for lockage.","USCG will provide the final regulated navigation area dictating the operating procedures for the area, build project first then USCG testing","Coast Guard personnel rotate out every three years, need to build continuity through the project","Conduct workshops and design charrettes with USCG and navigation, make sure they are included on research presentations; When new staff comes in update them on the project.","Conduct workshops and design charrettes with USCG and navigation, make sure they are included on research presentations. When new staff comes in update them on the project.","Accept & Transfer","Unlikely","Negligible","Green","Green","Red","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Critical","Likely","High","Kirk Sunderman",01-JUL-21 12.00.00.000000000 AM,"Neither","",01-JAN-22 12.00.00.000000000 AM,01-JUL-24 12.00.00.000000000 AM,"Yes","Stable","Coast Guard regulations and safety protocol may be more than Romeoville. The Coast Guard has indicated that they are open to considering a different protocol at this location. Coast Guard personnel rotate out every three years, need to build continuity through the project","","Kirk Sunderman","Open","TR-18b","Level 1",19-JUL-21 01.32.45.000000000 PM,28-DEC-21 10.07.00.000000000 AM
1002,"TR-19","TECHNICAL RISKS","All","Engineering - General ","Sequence of Navigation Operations","Need to establish a baseline to measure against the 15 min delay time (study assumption). 15 min. may not be accurate and the barriers may not be as effective as in the feasibility report.","15 min flushing time was a study assumption, is that a correct assumption, use Johnna's slides of lockage sequencing, how much buy back can we realize in times savings, total transit time, need the baseline to measure, what does this mean for the next boat up if stacked up at Lockport or downstream, how does it relate to the LPMS data over a period of time, negligible, slight, large impact?  do queuing for barges to mitigate time, are we designing to time deck hand has to walk to front of boat?  What are specific design parameters we are looking to address?","Need baseline information to establish what impacts or differences the project will have","Collect AISP or time stamped interval tracking of vessels to establish a baseline so that we can then determine our impacts.","Collect AISP or time stamped interval tracking of vessels to establish a baseline so that we can then determine our impacts. Finish AIS","Accept & Transfer","Likely","Negligible","Green","Green","Green","Low","$0-$4 Million","Likely","Negligible","Low","0-4.8 months","Marginal","Unlikely","Low","Nic Patterson",01-JUL-21 12.00.00.000000000 AM,"Neither","",01-JAN-23 12.00.00.000000000 AM,01-JUL-24 12.00.00.000000000 AM,"Yes","Stable","Need baseline information to establish what impacts or differences the project will have","","John Behrens","Open","TR-19","Level 1",19-JUL-21 01.32.46.000000000 PM,28-DEC-21 10.16.00.000000000 AM
1003,"TR-20","TECHNICAL RISKS","Entrainment Deterrent","Environment","Entrainment Deterrent","Concern that bubbles could effect maneuverability of barges and it doesn't remove the fish.","research scheduled for FY22, provide best design we can now but may need to modify, What kind of flexibility can be designed in the feature to allow for adaptive management? Define design parimeters.","will impact schedule of design, air bubble curtain is in Risk Increment I","Continue R&D, Peoria lock demo Fall/Winter FY22, test barge maneuverability transiting air bubble curtain/field. Defer testing and go to full design implementation at Brandon Road to execute the testing.","Continue R&D, Peoria lock demo Fall/Winter FY22, test barge maneuverability transiting air bubble curtain/field. Defer testing and go to full design implementation at Brandon Road to execute the testing. Finish R&D, Design Charrettes, and preliminary design.","Accept & Transfer","Very Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Very Unlikely","Negligible","Low","0-4.8 months","Marginal","Unlikely","Low","Mark Cornish",01-JUL-21 12.00.00.000000000 AM,"Both","",01-AUG-21 12.00.00.000000000 AM,01-JAN-23 12.00.00.000000000 AM,"Yes","Stable","Lack of design perimeter will impact schedule of design, air bubble curtain is included in Risk Increment I so there is little time to complete R&D before design needs to start.","","Mark Cornish","Open","TR-20","Level 1",19-JUL-21 01.32.47.000000000 PM,28-DEC-21 10.29.00.000000000 AM
1617,"REGEN-1","REGULATORY AND ENVIRONMENTAL RISKS","Engineering Channel","Policy","Flood Way Permit","Non-navigational wall is not an appropriate floodway use and there is not enough room on the peninsula to add the fill material without impacting the floodway","","","","continue H&H","Accept & Mitigate","Likely","Marginal","Orange","Orange","Green","Moderate","$4-$24 Million","Likely","Marginal","Moderate","4.8-9.6 months","Marginal","Unlikely","Low","Kirk Sunderman",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-JUN-21 12.00.00.000000000 AM,01-JUN-22 12.00.00.000000000 AM,"No","","","","","Closed","REGEN-1","Level 1",22-JUL-21 12.00.00.000000000 AM,28-DEC-21 10.34.00.000000000 AM
1616,"REGEN-2","REGULATORY AND ENVIRONMENTAL RISKS","Acoustic Fish Deterrent","Environment","Noise Permitting","The acoustic barrier may make noise that can be heard outside of the water.","","","","Being evaluated at Lock 19 test site. The number of speakers will define design parameters. Continue R&D.","Accept & Mitigate","Unlikely","Negligible","Green","Green","Orange","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Unlikely","Moderate","Kirk Sunderman",01-JUL-21 12.00.00.000000000 AM,"Prior/During Construction","",01-OCT-21 12.00.00.000000000 AM,01-JUN-22 12.00.00.000000000 AM,"Yes","Stable","there's no local population close to the Brandon Road site","","Christa Woodley","Open","REGEN-2","Level 1",19-JUL-21 12.00.00.000000000 AM,28-DEC-21 10.39.00.000000000 AM
2249,"REGEN-8","REGULATORY AND ENVIRONMENTAL RISKS","Administrative","Policy","Floodway Permit","Non-navigational wall is not an appropriate floodway use and there is not enough room on the peninsula to add the fill material without impacting the floodway.","","","","needs to be investigated. The volume of material and footprint must be defined. Continue H&H.","Accept & Mitigate","Likely","Marginal","Orange","Orange","Green","Moderate","$4-$24 Million","Likely","Marginal","Moderate","4.8-9.6 months","Negligible","Unlikely","Low","Heather Bishop",13-OCT-21 12.00.00.000000000 AM,"Prior to Construction","",17-MAR-22 12.00.00.000000000 AM,29-SEP-23 12.00.00.000000000 AM,"Yes","Increasing","needs to be investigated","","Kirk Sunderman","Open","REGEN-8","Level 1",13-OCT-21 12.00.00.000000000 AM,28-DEC-21 10.44.00.000000000 AM
2250,"REGEN-9","REGULATORY AND ENVIRONMENTAL RISKS","Administrative","Policy","Project Footprint & Operation","Illinois Public Body of Water Impacts - mitigation only","","","","The team is working through the constraints to find a solution. Continue working through design and updating floodway mapping","Accept & Mitigate","Unlikely","Marginal","Green","Green","Green","Low","$4-$24 Million","Unlikely","Negligible","Low","0-4.8 months","Negligible","Very Unlikely","Low","Kirk Sunderman",13-OCT-21 12.00.00.000000000 AM,"Prior to Construction","",31-MAR-22 12.00.00.000000000 AM,29-SEP-23 12.00.00.000000000 AM,"Yes","Increasing","Electric Barrier and bubble curtain influence on recreational / private watercraft boating on Public Water. Recreational/private watercraft protected from electrical current and bubble impacts. The risk can be mitigated during design by creating better fishing access and a boat ramp.   Mitigation for private boating impacts could include a public boat ramp and associated facilities as part of the project.  Development of the river side of the divider island peninsula and/or opposite bank of the river could serve to mitigate these known project impacts.  Lock cycle times must not be diminished to the extent that it causes a mode shift to other means of goods transportation.","","Loren Wobig","Open","REGEN-9","Level 1",13-OCT-21 12.00.00.000000000 AM,28-DEC-21 10.54.00.000000000 AM
1618,"EN-1","ENVIRONMENT","Administrative","Environment","Phase II Environmental Site Investigation","The assumption made during the feasibility study was the site could be used for construction with some remediation. Environmental site investigation may result in unusable site or high cost.","","","","Continue to have IL coordinate Rights of Entry with sponsor as the DNR may have additional leverage to negotiate and conduct Phase II investigation. Review status of court case documents.","Accept & Mitigate","Unlikely","Critical","Orange","Orange","Green","Moderate","$56-$120 Million","Unlikely","Critical","Moderate","19.2-38.4 months","Negligible","Unlikely","Low","Steve Gustafson",01-JUL-21 12.00.00.000000000 AM,"Prior/During Construction","",01-AUG-21 12.00.00.000000000 AM,01-JUL-23 12.00.00.000000000 AM,"Yes","Increasing","The state is actively working to complete Phase II analyisis which includes sampling. It's a formal industrial site and dredge placement site with unknown disposal with potential to high impacts to cost and schedule. There was a lawsuit regarding potential ground water contamination at various NRG sites.  Note this risk is related to risk RE-1 Land Acquisition in two ways.  First we are dependent on land access (Rights of Entry for Exploration) being acquired to conduct the investigation.  If we do not get access then the Phase II analysis cannot be completed and the land acquisition for construction cannot be completed.  Second the results of a Phase II investigation could dictate that it is not feasible to acquire the site which is essentially the risk concern of RE-1 Land Acquisition of the preferred site cannot be acquired.","","Bob Spencer","Open","EN-1","Level 1",22-JUL-21 12.00.00.000000000 AM,28-DEC-21 10.55.00.000000000 AM
1619,"RE-1","REAL ESTATE","Administrative","Real Estate","Land Acquisition","Right descending bank may not be available for use","","","","Trigger point for the LDB, have ILDNR continue to pursue ROE for exploration of the RDB property, conduct numeric modeling of the floodway with LDB scenarios for construction, if we lower wall to 514 is that a different impact than staying at 517 , can we add fill to the LDB wall?  Collect survey data of LDB to conduct floodway modeling, increase channel conveyance vs flood plain mitigation. Start pre-engineering for the LDB and RDB; Continue communication with Illinois.","Accept & Mitigate","Likely","Critical","Red","Orange","Red","High","$56-$120 Million","Unlikely","Critical","Moderate","19.2-38.4 months","Significant","Likely","High","Andy Leichty",01-JUL-21 12.00.00.000000000 AM,"Prior/During Construction","",01-MAY-21 12.00.00.000000000 AM,01-JUN-22 12.00.00.000000000 AM,"Yes","Increasing","Impacts are high to the design schedule and the construction schedule and would incur large cost increase to move to the LDB.  Multiple secondary impacts are identified in risks TR-6F, TR-6H, TR-11, EN-1","","Becky Elliott","Open","RE-1","Level 1",22-JUL-21 12.00.00.000000000 AM,28-DEC-21 12.12.00.000000000 PM
1621,"OPP-1","OPPORTUNITY","Engineering Channel","Engineering - H&H ","Downstream Approach Conditions below Engineered Channel","Entrance and approach conditions to assess potential improvements and efficiencies to assess the impacts of changes.  Impact of generation cooling water intake; Impact of main channel flows coming down from the dam","","","","Physical modeling of engineered channel and downstream channel approach; AISAP data tracking of navigation vessels (travel paths).","Accept","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Negligible","Unlikely","Low","Matthew Zager",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-JUL-21 12.00.00.000000000 AM,01-OCT-23 12.00.00.000000000 AM,"Yes","Stable","Scopes of work being finalized for physical model, anticipate model completion within 18 months? should include consideration of channel depth for vessel departure.  Opportunity to improve navigation conditions better than what it is now","","Kirk Sunderman","Open","OPP-1","Level 1",22-SEP-21 12.00.00.000000000 AM,28-DEC-21 12.17.00.000000000 PM
2251,"OPP-2","OPPORTUNITY","Administrative","Economics","Commercial Navigation Industry","The shippers and carriers (i.e., commercial users such as American Waterway Operators, Illinois River Carriers Association, etc.) relies on continued use of the lock.","","","","Coordinate VE proposals with Industry. Continue workshops and identify more POCs.","Realized","Unlikely","Negligible","Green","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Negligible","Unlikely","Low","John Behrens",22-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",03-JAN-22 12.00.00.000000000 AM,29-SEP-21 12.00.00.000000000 AM,"Yes","Stable","We are setting up for Industry participation in the model study.","","Mike Blaske","Open","OPP-2","Level 1",22-JUL-21 12.00.00.000000000 AM,28-DEC-21 12.25.00.000000000 PM
1620,"RE-2","REAL ESTATE","Administrative","Real Estate","Land Acquisition","If required land rights are not provided by a willing seller, condemnation and/or quit take authority could take longer to accomplish than the scope and schedule of this project may allow.","","","","Sponsor continues negotiations","Accept & Mitigate","Unlikely","Negligible","Green","Green","Red","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","Significant","Likely","High","Bob Spencer",01-JUL-21 12.00.00.000000000 AM,"Prior to Construction","",01-MAY-21 12.00.00.000000000 AM,01-MAY-22 12.00.00.000000000 AM,"No","","","","","Closed","RE-2","Level 1",29-JUL-21 12.00.00.000000000 AM,28-DEC-21 12.41.00.000000000 PM
2245,"TEST-2","NAVIGATION","","Engineering - H&H ","","testing","","","","","","","","Transparent","Transparent","Transparent","","","","","","","","","","",,"","",,,"Yes","","","","","Open","TEST-2","Level 3",19-DEC-21 12.00.00.000000000 AM,28-DEC-21 09.11.47.000000000 PM
